autor,nazev,rok,technika,rozmer,sirka,vyska,cena,dům,datum,kategorie
Filip Andrejevič Maljavin:,,,,,,,3000000,Galerie Pictura 10. 10. 2010,,
Josef Čapek:,,,,,,,3000000,1. Art Consulting 10. 11. 2010,,
Cyprián Majerník,,,,,,,2891000,1. Art Consulting 20. 6. 2010,,
Václav Špála:,,,,,,,2832000,Adolf Loos Apartment and Gallery 28. 4. 2010,,
Eugéne-Louis Boudin:,,,,,,,2760000,Meissner-Neumann 7. 11. 2010,,
Ladislav Sutnar:,,,,,,,2760000,Dorotheum 27. 11. 2010,,
Mikuláš Medek:,,,,,,,2760000,Dorotheum 18. 9. 2010,,
Václav Špála:,,,,,,,2760000,Galerie Kodl 25. 4. 2010,,
Václav Špála:,,,,,,,2760000,Galerie Kodl 28. 11. 2010,,
Josef Čapek:,,,,,,,2714000,1. Art Consulting 28. 4. 2010,,
Karel Černý:,,,,,,,2640000,Galerie Art Praha 5. 12. 2010,,
Francis Picabia:,,,,,,,2587500,Meissner-Neumann 7. 11. 2010,,
Antonín Hudeček:,,,,,,,2580000,1. Art Consulting 10. 11. 2010,,
Josef Navrátil:,,,,,,,2520000,Arcimboldo 11. 12. 2010,,
Emil Filla:,,,,,,,2400000,Dorotheum 22. 5. 2010,,
Václav Špála:,,,,,,,2400000,Galerie Art Praha 11. 4. 2010,,
Emil Filla:,,,,,,,2340000,1. Art Consulting 10. 11. 2010,,
Alexandre Cabanel:,,,,,,,2300000,Meissner-Neumann 7. 11. 2010,,
Alfons Mucha:,,,,,,,2300000,Meissner-Neumann 7. 11. 2010,,
Josef Čapek:,,,,,,,2185000,Zezula 5. 6. 2010,,
Václav Špála:,,,,,,,2040000,Galerie Kodl 25. 4. 2010,,
Václav Špála:,,,,,,,2040000,Adolf Loos Apartment and Gallery 10. 11. 2010,,
Antonín Hudeček:,,,,,,,2012500,Meissner-Neumann 23. 5. 2010,,
Josef Šíma:,,,,,,,1980000,1. Art Consulting 10. 11. 2010,,
Stanislas Victor Edouard Lépine:,,,,,,,1840000,Meissner-Neumann 7. 11. 2010,,
Emil Filla:,,,,,,,1800000,Galerie Kodl 28. 11. 2010,,
František Tichý:,,,,,,,1800000,Galerie Art Praha 5. 12. 2010,,
Josef Šíma:,,,,,,,1800000,1. Art Consulting 10. 11. 2010,,
Antonín Slavíček:,,,,,,,1725000,Meissner-Neumann 28. 3. 2010,,
Henri Martin:,,,,,,,1725000,Meissner-Neumann 7. 11. 2010,,
Petr Brandl:,,,,,,,1680000,1. Art Consulting 10. 11. 2010,,
Václav Brožík,,,,,,,1680000,Arcimboldo 11. 12. 2010,,
Václav Špála:,,,,,,,1680000,Dorotheum 27. 11. 2010,,
Emil Filla:,,,,,,,1652000,Adolf Loos Apartment and Gallery 28. 4. 2010,,
Karel Postl:,,,,,,,1652000,1. Art Consulting 20. 6. 2010,,
Jozef Israels:,,,,,,,1610000,Meissner-Neumann 7. 11. 2010,,
Maurice de Vlaminck:,,,,,,,1610000,Meissner-Neumann 7. 11. 2010,,
Václav Boštík:,,,,,,,1593000,1. Art Consulting 28. 4. 2010,,
Emil Filla:,,,,,,,1560000,Dorotheum 27. 11. 2010,,
Václav Špála:,,,,,,,1560000,1. Art Consulting 10. 11. 2010,,
Václav Tikal:,,,,,,,1560000,Galerie Kodl 25. 4. 2010,,
František Kupka:,,,,,,,1500000,Prague Auctions 16. 5. 2010,,
Jan Jakub Hartmann:,,,,,,,1500000,Adolf Loos Apartment and Gallery 10. 11. 2010,,
Diaz de la Pena:,,,,,,,1495000,Meissner-Neumann 7. 11. 2010,,
Emil Filla:,,,,,,,1495000,Meissner-Neumann 12. 12. 2010,,
Farreras Carlos Nadal:,,,,,,,1495000,Meissner-Neumann 7. 11. 2010,,
Antonín Chittussi:,,,,,,,1440000,Galerie Pictura 13. 6. 2010,,
Emil Filla:,,,,,,,1440000,Dorotheum 18. 9. 2010,,
Jakub Schikaneder:,,,,,,,1440000,Galerie Pictura 14. 3. 2010,,
Otakar Mrkvička:,,,,,,,1437500,Meissner-Neumann 7. 11. 2010,,
Václav Brožík:,,,,,,,1437500,Meissner-Neumann 23. 5. 2010,,
Václav Špála:,,,,,,,1404000,Galerie Solidet  20. 11. 2010,,
Otakar Nejedlý,,,,,,,1332000,Galerie Pictura 14. 3. 2010,,
Antonín Slavíček:,,,,,,,1320000,Dorotheum 6. 3. 2010,,
František Foltýn:,,,,,,,1320000,Arcimboldo 11. 12. 2010,,
Kamil Lhoták:,,,,,,,1298000,1. Art Consulting 28. 4. 2010,,
Karel Černý:,,,,,,,1265000,Galerie Art Praha 25. 9. 2010,,
Otakar Kubín:,,,,,,,1260000,Galerie Art Praha 11. 4. 2010,,
Emil Filla:,,,,,,,1200000,1. Art Consulting 20. 11. 2010,,
Josef Navrátil:,,,,,,,1200000,Galerie Kodl 25. 4. 2010,,
Rudolf Kremlička:,,,,,,,1200000,Galerie Pictura 13. 6. 2010,,
Václav Brožík:,,,,,,,1200000,Dorotheum 22. 5. 2010,,
Václav Špála:,,,,,,,1180000,1. Art Consulting 21. 2. 2010,,
Édouard Leon Cortés:,,,,,,,1150000,Meissner-Neumann 7. 11. 2010,,
Jaroslav Čermák:,,,,,,,1150000,Meissner-Neumann 7. 11. 2010,,
Théo van Rysselberghe:,,,,,,,1150000,Meissner-Neumann 7. 11. 2010,,
Antonín Mánes:,,,,,,,1140000,Galerie Kodl 28. 11. 2010,,
Jan Preisler:,,,,,,,1140000,Dorotheum 6. 3. 2010,,
Jaroslav Král:,,,,,,,1140000,Adolf Loos Apartment and Gallery 10. 11. 2010,,
Josef Vyleťal:,,,,,,,1140000,Galerie Art Praha 25. 9. 2010,,
Otakar Kubín:,,,,,,,1140000,1. Art Consulting 10. 11. 2010,,
Rudolf Kremlička:,,,,,,,1140000,Galerie Kodl 25. 4. 2010,,
Jan Kupecký:,,,,,,,1121000,1. Art Consulting 21. 2. 2010,,
František Janoušek:,,,,,,,1104000,Adolf Loos Apartment and Gallery 10. 11. 2010,,
František Foltýn:,,,,,,,1080000,Arcimboldo 11. 12. 2010,,
František Ženíšek:,,,,,,,1080000,Galerie Pictura 14. 3. 2010,,
Jaroslav Čermák:,,,,,,,1080000,Adolf Loos Apartment and Gallery 10. 11. 2010,,
Zdeněk Burian:,,,,,,,1080000,1. Art Consulting 10. 11. 2010,,
Jan Bauch:,,,,,,,1062000,1. Art Consulting 28. 4. 2010,,
Václav Špála:,,,,,,,1062000,1. Art Consulting 28. 4. 2010,,
Albert Gleizes:,,,,,,,1035000,Meissner-Neumann 7. 11. 2010,,
Henri Fantin-Latour:,,,,,,,1035000,Meissner-Neumann 7. 11. 2010,,
Vojtěch Hynais:,,,,,,,1035000,Meissner-Neumann 3. 5. 2010,,
František Muzika:,,,,,,,1032000,Galerie Art Praha 11. 4. 2010,,
Václav Špála:,,,,,,,1023500,Zezula 5. 6. 2010,,
Antonín Mánes:,,,,,,,1020000,Galerie Kodl 28. 11. 2010,,
